date_time,price,volume
2023-06-06 16:00:00,221.31,146911576.0
2023-06-07 16:00:00,224.57,185710777.0
2023-06-08 16:00:00,234.86,164489739.0
2023-06-09 16:00:00,244.4,200242371.0
2023-06-12 16:00:00,249.83,150740523.0
2023-06-13 16:00:00,258.71,162384343.0
2023-06-14 16:00:00,256.79,170575536.0
2023-06-15 16:00:00,255.9,160171238.0
2023-06-16 16:00:00,260.54,167915649.0
2023-06-20 16:00:00,274.45,165611217.0
2023-06-21 16:00:00,259.46,211797109.0
2023-06-22 16:00:00,264.61,166875944.0
2023-06-23 16:00:00,256.6,177460803.0
2023-06-26 16:00:00,241.05,179990552.0
2023-06-27 16:00:00,250.21,164968214.0
2023-06-28 16:00:00,256.24,159770797.0
2023-06-29 16:00:00,257.5,131283360.0
2023-06-30 16:00:00,261.77,112620784.0
2023-07-03 13:05:00,279.82,119685891.0
2023-07-05 16:00:00,282.48,131530862.0
2023-07-06 16:00:00,276.54,120707419.0
2023-07-07 16:00:00,274.43,113879174.0
2023-07-10 16:00:00,269.61,119425405.0
2023-07-11 16:00:00,269.79,91972358.0
2023-07-12 16:00:00,271.99,95672139.0
2023-07-13 16:00:00,277.9,112681458.0
2023-07-14 16:00:00,281.38,120062369.0
2023-07-17 16:00:00,290.38,131569593.0
2023-07-18 16:00:00,293.34,112434713.0
2023-07-19 16:00:00,291.26,142355353.0
2023-07-20 16:00:00,262.9,175158273.0
2023-07-21 16:00:00,260.02,161796073.0
2023-07-24 16:00:00,269.06,137005037.0
2023-07-25 16:00:00,265.28,112757327.0
2023-07-26 16:00:00,264.35,95856177.0
2023-07-27 16:00:00,255.71,103697263.0
2023-07-28 16:00:00,266.44,111446026.0
2023-07-31 16:00:00,267.43,84582172.0
2023-08-01 16:00:00,261.07,83645720.0
2023-08-02 16:00:00,254.11,101752865.0
2023-08-03 16:00:00,259.32,97829545.0
2023-08-04 16:00:00,253.86,99539907.0
2023-08-07 16:00:00,251.45,111097943.0
2023-08-08 16:00:00,249.7,96642183.0
2023-08-09 16:00:00,242.19,101596324.0
2023-08-10 16:00:00,245.34,109498608.0
2023-08-11 16:00:00,242.65,99038642.0
2023-08-14 16:00:00,239.76,98595331.0
2023-08-15 16:00:00,232.96,88197599.0
2023-08-16 16:00:00,225.6,112484520.0
2023-08-17 16:00:00,219.22,120718417.0
2023-08-18 16:00:00,215.49,136276584.0
2023-08-21 16:00:00,231.28,135702671.0
2023-08-22 16:00:00,233.19,130597886.0
2023-08-23 16:00:00,236.86,101077635.0
2023-08-24 16:00:00,230.04,99777432.0
2023-08-25 16:00:00,238.59,106612231.0
2023-08-28 16:00:00,238.82,107673727.0
2023-08-29 16:00:00,257.18,134047603.0
2023-08-30 16:00:00,256.9,121988437.0
2023-08-31 16:00:00,258.08,108861698.0
2023-09-01 16:00:00,245.01,132541640.0
2023-09-05 16:00:00,256.49,129469565.0
2023-09-06 16:00:00,251.92,116959759.0
2023-09-07 16:00:00,251.49,115312886.0
2023-09-08 16:00:00,248.5,118559635.0
2023-09-11 16:00:00,273.58,174667852.0
2023-09-12 16:00:00,267.48,135999866.0
2023-09-13 16:00:00,271.3,111673737.0
2023-09-14 16:00:00,276.04,107709842.0
2023-09-15 16:00:00,274.39,133692313.0
2023-09-18 16:00:00,265.28,101543305.0
2023-09-19 16:00:00,266.5,103704040.0
2023-09-20 16:00:00,262.59,122514643.0
2023-09-21 16:00:00,255.7,119951516.0
2023-09-22 16:00:00,244.88,127524083.0
2023-09-25 16:00:00,246.99,104636557.0
2023-09-26 16:00:00,244.12,101993631.0
2023-09-27 16:00:00,240.5,136597184.0
2023-09-28 16:00:00,246.38,117058870.0
2023-09-29 16:00:00,250.22,128522729.0
2023-10-02 16:00:00,251.6,123810402.0
2023-10-03 16:00:00,246.53,101985305.0
2023-10-04 16:00:00,261.16,129721567.0
2023-10-05 16:00:00,260.05,119159214.0
2023-10-06 16:00:00,260.53,118121812.0
2023-10-09 16:00:00,259.67,101377947.0
2023-10-10 16:00:00,263.62,122656030.0
2023-10-11 16:00:00,262.99,103706266.0
2023-10-12 16:00:00,258.87,111508114.0
2023-10-13 16:00:00,251.12,102296786.0
2023-10-16 16:00:00,253.92,88917176.0
2023-10-17 16:00:00,254.85,93562909.0
2023-10-18 16:00:00,242.68,125147846.0
2023-10-19 16:00:00,220.11,170772713.0
2023-10-20 16:00:00,211.99,138010095.0
2023-10-23 16:00:00,212.08,150683368.0
2023-10-24 16:00:00,216.52,118231113.0
2023-10-25 16:00:00,212.42,107065087.0
2023-10-26 16:00:00,205.76,115112635.0
2023-10-27 16:00:00,207.3,94881173.0
2023-10-30 16:00:00,197.36,136448167.0
2023-10-31 16:00:00,200.84,118068273.0
2023-11-01 16:00:00,205.66,121661656.0
2023-11-02 16:00:00,218.51,125987621.0
2023-11-03 16:00:00,219.96,119534790.0
2023-11-06 16:00:00,219.27,117335820.0
2023-11-07 16:00:00,222.18,116900130.0
2023-11-08 16:00:00,222.11,106584841.0
2023-11-09 16:00:00,209.98,142110454.0
2023-11-10 16:00:00,214.65,131310128.0
2023-11-13 16:00:00,223.71,140447569.0
2023-11-14 16:00:00,237.41,149771642.0
2023-11-15 16:00:00,242.84,150353975.0
2023-11-16 16:00:00,233.59,136816819.0
2023-11-17 16:00:00,234.3,142766234.0
2023-11-20 16:00:00,235.6,116562402.0
2023-11-21 16:00:00,241.2,122288000.0
2023-11-22 16:00:00,234.21,118117078.0
2023-11-24 13:05:00,235.45,65125203.0
2023-11-27 16:00:00,236.08,112031763.0
2023-11-28 16:00:00,246.72,148549913.0
2023-11-29 16:00:00,244.14,135401335.0
2023-11-30 16:00:00,240.08,132353196.0
2023-12-01 16:00:00,238.83,121331709.0
2023-12-04 16:00:00,235.58,104099817.0
2023-12-05 16:00:00,238.72,137971115.0
2023-12-06 16:00:00,239.37,126436179.0
2023-12-07 16:00:00,242.64,107142262.0
2023-12-08 16:00:00,243.84,
